count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,region_ons_code,local_authority_id,local_authority_name,local_authority_code,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,LGVs,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs,all_motor_vehicles
56815,W,2003,2003-03-20,15,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,22,76,996,65,222,43,4,8,0,2,3,60,1419
56815,E,2003,2003-03-20,7,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,23,62,809,58,212,60,11,16,4,5,6,102,1243
56815,W,2003,2003-03-20,9,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,18,43,1066,44,308,36,3,2,6,2,2,51,1512
56815,E,2003,2003-03-20,11,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,14,80,961,69,267,64,3,4,5,5,2,83,1460
56815,W,2003,2003-03-20,16,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,25,86,778,77,214,33,4,2,1,0,1,41,1196
56815,W,2003,2003-03-20,17,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,21,80,710,68,138,22,2,0,1,1,2,28,1024
56815,E,2003,2003-03-20,15,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,31,91,978,63,215,86,3,10,6,4,2,111,1458
56815,E,2003,2003-03-20,9,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,34,117,986,83,183,73,9,5,5,7,4,103,1472
56815,E,2003,2003-03-20,18,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,87,134,1116,112,162,65,11,11,4,2,4,97,1621
56815,E,2003,2003-03-20,13,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,24,79,976,58,239,68,1,8,8,4,1,90,1442
56815,E,2003,2003-03-20,10,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,15,69,971,74,216,55,14,8,1,5,1,84,1414
56815,W,2003,2003-03-20,10,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,10,59,1143,69,322,37,10,7,3,4,3,64,1657
56815,E,2003,2003-03-20,12,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,26,94,1053,60,267,58,1,7,1,2,6,75,1549
56815,W,2003,2003-03-20,7,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,8,38,1138,51,324,48,3,9,5,1,8,74,1625
56815,W,2003,2003-03-20,8,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,30,71,1170,49,252,44,6,5,2,2,0,59,1601
56815,E,2003,2003-03-20,8,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,33,132,1001,82,203,71,9,9,2,3,0,94,1512
56815,E,2003,2003-03-20,16,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,41,98,1045,64,184,83,0,3,3,4,0,93,1484
56815,W,2003,2003-03-20,11,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,4,23,946,44,184,35,4,5,4,5,2,55,1252
56815,W,2003,2003-03-20,13,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,19,70,765,43,238,35,3,6,2,0,3,49,1165
56815,E,2003,2003-03-20,14,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,20,70,917,62,204,92,5,4,7,4,0,112,1365
56815,W,2003,2003-03-20,14,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,18,90,970,66,258,46,10,7,2,3,3,71,1455
56815,E,2003,2003-03-20,17,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,73,108,1076,71,150,64,1,1,5,2,0,73,1478
56815,W,2003,2003-03-20,18,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,14,49,774,65,96,14,3,0,1,2,2,22,1006
56815,W,2003,2003-03-20,12,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,13,45,961,33,242,28,7,12,2,8,2,59,1340
56815,W,2006,2006-05-18,11,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,30,62,818,59,335,50,5,9,11,5,4,84,1358
56815,W,2006,2006-05-18,12,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,35,88,836,56,314,63,3,14,4,7,4,95,1389
56815,W,2006,2006-05-18,15,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,12,44,950,57,191,22,6,0,0,0,1,29,1271
56815,E,2006,2006-05-18,11,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,24,58,809,63,290,43,9,4,4,6,4,70,1290
56815,W,2006,2006-05-18,9,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,107,87,697,71,233,59,3,7,9,9,5,92,1180
56815,E,2006,2006-05-18,12,6,London,E12000007,145,Camden,E09000007,A501,PA,Major,A4200,A5202,530000,182765,51.5288408,-0.127309504,0.6,0.4,22,69,818,57,296,47,4,5,9,4,1,70,1310
